2017140,03102011,0.57,57
2017141,11203012,2.94,60
2017142,01012032,1000,55
2017143,20203121,0.93,170
2017144,00302101,1.60,63
2017145,02221231,5.32,67
2017146,00002112,1000,56
2017148,30330132,3.74,117
2017149,11113201,1.01,83
2017150,20203011,1.98,53
2017151,21033131,1000,38
2017152,21321021,13.1,187
2017153,22310032,16.4,51
2017154,31213211,22.8,71
2017155,01130012,4.92,61
2017156,11212220,0.42,39
2017157,21301012,3.21,80
2017158,00012330,5.90,73
2017159,13301223,5.38,67
2017160,11210102,1.84,40
2017161,21220101,3.41,69
2017162,21312121,0.60,85
2017163,20302331,19.3,60
2017164,00300010,3.45,60
2017165,12011132,22.6,35
2017166,10010113,3.12,49
2017168,01311000,2.19,48
2017169,11221310,1.54,34
2017170,22023003,1.27,72
2017171,11320120,7.13,67
2017172,03122000,0.74,62
2017173,23103213,1000,38
2017174,01112130,0.45,123
2017175,10031111,18.2,85
2017176,00110130,1.20,88
2017177,00212322,12.1,57
2017178,30103021,1.73,73
2017179,21103013,1000,36
2017180,13101113,5.04,145
2017181,30113012,0.34,85
2017182,21311132,1.00,61
2017183,20103010,4.73,44
2017184,12122122,0.81,32
2017185,10222031,1.18,53
2017186,22002021,4.82,52
2017187,10130310,4.86,68
2017189,10001031,1.42,71
2017190,00031001,5.38,67
2017191,20313110,1.67,34
2017192,31232210,14.6,23
2017193,03301131,1.66,78
2017194,20222100,4.70,81
2017195,21302100,1.70,93
2018001,12020231,0.23,74
2018002,10202312,1.30,84
2018003,11000100,10.2,32
2018004,00131130,10.5,66
2018005,21331123,4.81,53
2018006,02303012,2.30,65
2018007,02111011,0.28,37
2018008,31012031,0.34,37
2022010,20232001,11.87,129
2022011,30030232,32.35,151
2022012,22112122,0.87,115
2022013,10022311,9.09,99
2022014,32112100,2.86,111
2022015,01231212,4.89,106
2022016,11021321,11.74,110
2022017,11113021,0.07,114
2022018,20211100,1.57,110
2022019,00013001,12.03,131
2022020,01123130,1.78,108
2022021,02232100,3.00,126
2022022,03101111,2.11,161
2022023,11101213,1.92,146
2022024,31013103,13.04,142
2022025,32111110,3.60,112
2022026,10200011,1.69,142
2022027,01031210,34.53,107
2022028,23311011,4.14,97
2022029,01211101,0.63,106
2022030,13012030,2.62,155
2022031,11013110,8.59,161
2022032,21213220,0.97,98
2022033,21113020,0.28,128
2022034,00131231,5.81,136
2022035,21311301,1.92,101
2022036,13101310,17.86,139
2022037,10023232,14.40,112
2022038,03030020,4.57,121
2022039,20221023,2.41,124
2022040,13003323,0.00,145
2022041,23211320,2.95,407
2022042,10120030,7.88,98
2022043,21111100,0.79,97
2022044,03111201,11.71,128
2022045,23111030,2.65,124
2022046,33322023,0.00,73
2022047,12313111,1.30,266
2022048,22101020,1.13,133
2022049,33201012,5.40,135
2022050,12231022,0.00,80
2022051,12030331,72.00,257
2022052,10121013,3.05,109
2022053,23211031,5.68,115
2022054,21201111,1.99,74
2022055,30131030,12.45,77
2022056,12111110,0.29,70
2022057,22112102,0.27,76
2022058,21213220,1.61,80
2022059,11112223,9.02,140
