17149;253
17150;79
17151;39219
17152;14279
17153;20306
17154;394
17155;572
17156;3821
17157;3048
17158;662
17159;293
17160;18780
17161;377
17162;33900
17163;6453
17164;3522
17165;76452
17166;9183
17167;185
17168;1021
17169;60224
17170;85
17171;59413
17172;134
17173;289
17174;9553
17175;6265
17176;1037
17177;40326
17178;1920
17179;1679
17180;8634
17181;1457
17182;359
17183;114295
17184;33959
17185;21571
17186;2727
17187;275
17188;4822
17189;2276
17190;7131
17191;266
17192;12772
17193;3609













