2-4,2-4,3-2,3-2
2-4,2-4,3-2,3-3
2-4,2-4,3-2,3-15
2-4,2-4,3-2,3-15
2-4,2-4,3-3,3-2
2-4,2-4,3-3,3-3
2-4,2-4,3-3,3-15
2-4,2-4,3-3,3-15
2-4,2-4,3-15,3-2
2-4,2-4,3-15,3-3
2-4,2-4,3-15,3-15
2-4,2-4,3-15,3-15
2-4,3-2,2-4,3-2
2-4,3-2,2-4,3-3
2-4,3-2,2-4,3-15
2-4,3-2,3-2,2-4
2-4,3-2,3-2,3-3
2-4,3-2,3-2,3-15
2-4,3-2,3-3,2-4
2-4,3-2,3-3,3-2
2-4,3-2,3-3,3-3
2-4,3-2,3-3,3-15
2-4,3-2,3-15,2-4
2-4,3-2,3-15,3-2
2-4,3-2,3-15,3-3
2-4,3-2,3-15,3-15
2-4,3-3,2-4,3-2
2-4,3-3,2-4,3-3
2-4,3-3,2-4,3-15
2-4,3-3,3-2,2-4
2-4,3-3,3-2,3-2
2-4,3-3,3-2,3-3
2-4,3-3,3-2,3-15
2-4,3-3,3-3,2-4
2-4,3-3,3-3,3-2
2-4,3-3,3-3,3-3
2-4,3-3,3-3,3-15
2-4,3-3,3-15,2-4
2-4,3-3,3-15,3-2
2-4,3-3,3-15,3-3
2-4,3-3,3-15,3-15
2-4,3-15,2-4,3-2
2-4,3-15,2-4,3-3
2-4,3-15,2-4,3-15
2-4,3-15,2-4,3-15
2-4,3-15,3-2,2-4
2-4,3-15,3-2,3-2
2-4,3-15,3-2,3-3
2-4,3-15,3-2,3-15
2-4,3-15,3-3,2-4
2-4,3-15,3-3,3-2
2-4,3-15,3-3,3-3
2-4,3-15,3-3,3-15
2-4,3-15,3-15,2-4
2-4,3-15,3-15,3-2
2-4,3-15,3-15,3-3
3-2,2-4,2-4,3-2
3-2,2-4,2-4,3-3
3-2,2-4,2-4,3-15
3-2,2-4,3-2,2-4
3-2,2-4,3-2,3-3
3-2,2-4,3-2,3-15
3-2,2-4,3-3,2-4
3-2,2-4,3-3,3-2
3-2,2-4,3-3,3-3
3-2,2-4,3-3,3-15
3-2,2-4,3-15,2-4
3-2,2-4,3-15,3-2
3-2,2-4,3-15,3-3
3-2,2-4,3-15,3-15
3-2,3-3,2-4,2-4
3-2,3-3,2-4,3-2
3-2,3-3,2-4,3-3
3-2,3-3,2-4,3-15
3-2,3-3,3-2,2-4
3-2,3-3,3-2,3-3
3-2,3-3,3-2,3-15
3-2,3-3,3-3,2-4
3-2,3-3,3-3,3-2
3-2,3-3,3-3,3-3
3-2,3-3,3-3,3-15
3-2,3-3,3-15,2-4
3-2,3-3,3-15,3-2
3-2,3-3,3-15,3-3
3-2,3-3,3-15,3-15
3-2,3-15,2-4,2-4
3-2,3-15,2-4,3-2
3-2,3-15,2-4,3-3
3-2,3-15,2-4,3-15
3-2,3-15,3-2,2-4
3-2,3-15,3-2,3-3
3-2,3-15,3-2,3-15
3-2,3-15,3-3,2-4
3-2,3-15,3-3,3-2
3-2,3-15,3-3,3-3
3-2,3-15,3-3,3-15
3-2,3-15,3-15,2-4
3-2,3-15,3-15,3-2
3-2,3-15,3-15,3-3
3-3,2-4,2-4,3-2
3-3,2-4,2-4,3-3
3-3,2-4,2-4,3-15
3-3,2-4,2-4,3-15
3-3,2-4,3-2,2-4
3-3,2-4,3-2,3-2
3-3,2-4,3-2,3-3
3-3,2-4,3-2,3-15
3-3,2-4,3-3,2-4
3-3,2-4,3-3,3-2
3-3,2-4,3-3,3-3
3-3,2-4,3-3,3-15
3-3,2-4,3-15,2-4
3-3,2-4,3-15,3-2
3-3,2-4,3-15,3-3
3-3,2-4,3-15,3-15
3-3,3-2,2-4,2-4
3-3,3-2,2-4,3-2
3-3,3-2,2-4,3-3
3-3,3-2,2-4,3-15
3-3,3-2,3-2,2-4
3-3,3-2,3-2,3-3
3-3,3-2,3-2,3-15
3-3,3-2,3-3,2-4
3-3,3-2,3-3,3-2
3-3,3-2,3-3,3-3
3-3,3-2,3-3,3-15
3-3,3-2,3-15,2-4
3-3,3-2,3-15,3-2
3-3,3-2,3-15,3-3
3-3,3-2,3-15,3-15
3-3,3-3,2-4,2-4
3-3,3-3,2-4,3-2
3-3,3-3,2-4,3-3
3-3,3-3,2-4,3-15
3-3,3-3,3-2,2-4
3-3,3-3,3-2,3-2
3-3,3-3,3-2,3-3
3-3,3-3,3-2,3-15
3-3,3-3,3-3,2-4
3-3,3-3,3-3,3-2
3-3,3-3,3-3,3-15
3-3,3-3,3-15,2-4
3-3,3-3,3-15,3-2
3-3,3-3,3-15,3-3
3-3,3-3,3-15,3-15
3-3,3-15,2-4,2-4
3-3,3-15,2-4,3-2
3-3,3-15,2-4,3-3
3-3,3-15,2-4,3-15
3-3,3-15,3-2,2-4
3-3,3-15,3-2,3-2
3-3,3-15,3-2,3-3
3-3,3-15,3-2,3-15
3-3,3-15,3-3,2-4
3-3,3-15,3-3,3-2
